listing_id,date
5959077,2016-04-14
5959077,2016-04-26
5959077,2016-05-04
5959077,2016-05-16
5959077,2016-05-20
5959077,2016-05-24
5959077,2016-05-27
5959077,2016-05-30
5959077,2016-06-08
5959077,2016-06-16
5959077,2016-06-22
5959077,2016-07-03
5959077,2016-07-07
5959077,2016-07-08
5959077,2016-07-16
5959077,2016-07-19
5959077,2016-07-21
5959077,2016-07-23
5959077,2016-08-01
5959077,2016-08-06
5959077,2016-08-11
5959077,2016-08-12
5959077,2016-08-15
5959077,2016-08-22
5959077,2016-08-25
5959077,2016-08-25
5959077,2016-08-27
5959077,2016-08-30
5959077,2016-09-16
5959077,2016-09-17
5959077,2016-09-20
5959077,2016-09-23
5959077,2016-09-24
5959077,2016-09-29
5959077,2016-10-05
5959077,2016-10-05
5959077,2016-10-08
5959077,2016-10-13
5959077,2016-10-15
5959077,2016-10-17
5959077,2016-10-19
5959077,2016-10-28
5959077,2016-10-30
5959077,2016-11-05
5959077,2016-11-13
5959077,2016-11-21
5959077,2016-11-23
5959077,2016-12-01
5959077,2016-12-06
5959077,2016-12-12
5959077,2016-12-14
5959077,2016-12-16
5959077,2016-12-19
5959077,2016-12-22
5959077,2016-12-28
5959077,2016-12-31
5959077,2017-01-07
5959077,2017-01-10
5959077,2017-01-15
5959077,2017-01-18
5959077,2017-01-23
5959077,2017-02-04
5959077,2017-02-06
5959077,2017-02-12
5959077,2017-02-21
5959077,2017-02-23
5959077,2017-02-25
5959077,2017-02-28
5959077,2017-03-02
5959077,2017-03-09
5959077,2017-03-13
5959077,2017-03-21
5959077,2017-03-26
5959077,2017-03-29
5959077,2017-04-09
5959077,2017-04-13
5959077,2017-04-21
5959077,2017-04-23
5959077,2017-05-01
5959077,2017-05-05
5959077,2017-05-07
5959077,2017-05-11
5959077,2017-05-12
5959077,2017-05-18
12540799,2016-05-08
12540799,2016-05-22
12540799,2016-05-30
16838562,2017-03-03
16838562,2017-03-11
16838562,2017-03-20
16838562,2017-05-01
16838562,2017-05-08
16838562,2017-05-14
